Photos provided by Pexels (https://www.pexels.com)
file | Pexels id | photographer | Pexels page | description
kerala-3.jpg | 35356944 | Ravi Kant | https://www.pexels.com/photo/tranquil-houseboat-in-kerala-s-coconut-lined-rivers-35356944/ | Serene view of a houseboat on Kerala's lush, tranquil backwaters with coconut trees and quaint houses.
kerala-4.jpg | 32518360 | Suman Boipai | https://www.pexels.com/photo/scenic-kerala-houseboats-among-tropical-palms-32518360/ | Tranquil Kerala backwaters with houseboats and palm trees at sunrise.
rajasthan-1.jpg | 34086724 | divyanshu SUJANGARH | https://www.pexels.com/photo/hawa-mahal-jaipur-s-iconic-architectural-gem-34086724/ | Stunning view of the historic Hawa Mahal, Jaipur showcasing intricate pink sandstone architecture.
rajasthan-2.jpg | 31446118 | Daciana  Cristina  Visan | https://www.pexels.com/photo/amber-fort-architectural-detail-in-jaipur-31446118/ | Stunning architectural detail of Amber Fort in Jaipur, showcasing intricate design.
rajasthan-3.jpg | 32261804 | urtimud.89 | https://www.pexels.com/photo/majestic-architecture-of-city-palace-jaipur-32261804/ | A stunning view of the intricate architecture of City Palace, Jaipur, showcasing Rajasthani design.
rajasthan-4.jpg | 19867655 | vijesh vijayan | https://www.pexels.com/photo/jak-mahal-palace-in-jaipur-19867655/ | Scenic view of Jal Mahal palace reflecting in Man Sagar Lake, Jaipur, India.
rishikesh-1.jpg | 36123978 | Capturing Rishikesh | https://www.pexels.com/photo/scenic-view-of-laxman-jhula-bridge-in-rishikesh-36123978/ | Laxman Jhula bridge spanning Ganges River in Rishikesh with mountainous backdrop.
rishikesh-2.jpg | 18887232 | Soubhagya Maharana | https://www.pexels.com/photo/people-during-ganga-aarti-ceremony-18887232/ | People performing a vibrant Ganga Aarti ritual at Triveni Ghat, Rishikesh, India at night.
rishikesh-3.jpg | 17693658 | Lisa and everlast jorney | https://www.pexels.com/photo/buildings-by-river-in-town-in-india-17693658/ | Vibrant buildings along the Ganges River in Rishikesh, India. A bustling urban scene with cultural charm.
rishikesh-4.jpg | 6157502 | Dvine Yoga | https://www.pexels.com/photo/a-man-doing-a-yoga-pose-6157502/ | Back view of a man in a yoga pose by the Ganges River, Rishikesh, India, amidst serene nature.
lonavala-1.jpg | 35460292 | Shashank Kadagala | https://www.pexels.com/photo/breathtaking-view-of-western-ghats-clifftop-scenery-35460292/ | Stunning landscape of the Western Ghats with rugged cliffs and lush greenery under a clear sky.
lonavala-2.jpg | 19100110 | Ankit Rainloure | https://www.pexels.com/photo/man-in-raincoat-in-forest-19100110/ | A man in a raincoat stands amidst lush greenery in Lonavala, India, showcasing natural beauty.
lonavala-3.jpg | 30317431 | Rishu Bhosale | https://www.pexels.com/photo/scenic-lonavala-highway-through-the-hills-30317431/ | A scenic view of a busy highway winding through the lush hills of Lonavala, Maharashtra, India.
lonavala-4.jpg | 38160052 | Shashwat Goyar | https://www.pexels.com/photo/breathtaking-mountain-valley-landscape-view-38160052/ | Scenic mountain valley with lush greenery and cloudy sky, offering a serene natural view.
andaman-1.jpg | 29175703 | Jayanth Muppaneni | https://www.pexels.com/photo/pristine-beach-in-andaman-and-nicobar-islands-29175703/ | Explore the untouched beauty of a tropical beach in the Andaman and Nicobar Islands with lush green forests.
andaman-2.jpg | 19755206 | Debendra Das | https://www.pexels.com/photo/historic-building-facad-india-19755206/ | People gathered outside the historic Cellular Jail with its distinctive arched windows and barred architecture.
andaman-3.jpg | 39550240 | Pimon Kumsri | https://www.pexels.com/photo/aerial-view-of-tropical-coastline-with-elephants-39550240/ | Stunning aerial shot of a lush tropical coastline with elephants bathing in turquoise waters.
andaman-4.jpg | 35993701 | Jeffry Surianto | https://www.pexels.com/photo/scenic-view-of-longtail-boat-in-thai-island-waters-35993701/ | Longtail boat floating in turquoise waters near a Thai island on a sunny day.
ladakh-1.jpg | 32909865 | Simranpreet  Singh | https://www.pexels.com/photo/dramatic-landscape-of-pangong-lake-ladakh-32909865/ | Breathtaking view of Pangong Lake with mountains and dynamic clouds in Ladakh, India.
ladakh-2.jpg | 38450132 | Saakshi Yadav | https://www.pexels.com/photo/scenic-view-of-nubra-valley-in-ladakh-38450132/ | Majestic landscape of Nubra Valley, Ladakh with vast mountains and clear blue sky.
ladakh-3.jpg | 6650457 | shalender kumar | https://www.pexels.com/photo/thikse-monastery-built-on-mountainside-6650457/ | Explore the breathtaking Thiksey Monastery in Ladakh, nestled on a scenic mountainside range.
ladakh-4.jpg | 6002462 | Akshit Garg | https://www.pexels.com/photo/unpaved-road-near-a-river-in-the-valley-6002462/ | Stunning landscape of a flowing river amidst rugged mountains in Ladakh, India.
